order_id,customer_id,order_date,order_value,product_category,quantity,discount_pct,payment_method,return_flag
O00001,C0001,2022-04-24,99.08,Toys,5,0,Credit Card,N
O00002,C0001,2022-04-27,206.6,Sports,2,20,PayPal,N
O00003,C0001,2022-08-09,217.81,Electronics,4,15,Apple Pay,N
O00004,C0001,2022-10-07,134.26,Automotive,2,10,Bank Transfer,N
O00005,C0001,2022-10-18,110.27,Electronics,4,0,Apple Pay,N
O00006,C0001,2022-11-12,442.09,Health,4,10,Apple Pay,N
O00007,C0001,2022-12-20,201.6,Toys,1,0,Debit Card,Y
O00008,C0001,2023-03-01,273.24,Beauty,1,5,Credit Card,N
O00009,C0001,2023-03-17,262.98,Toys,5,0,Apple Pay,N
O00010,C0001,2023-03-29,393.24,Sports,3,20,Debit Card,N
O00011,C0001,2023-05-14,294.4,Clothing,5,10,Debit Card,N
O00012,C0001,2023-06-09,227.46,Home & Garden,2,0,Debit Card,N
O00013,C0001,2023-06-24,162.85,Health,2,20,Credit Card,N
O00014,C0001,2023-08-31,479.54,Food & Grocery,4,20,Bank Transfer,Y
O00015,C0001,2023-09-14,268.54,Health,5,0,PayPal,N
O00016,C0001,2023-11-15,264.7,Food & Grocery,4,15,PayPal,N
O00017,C0001,2023-11-26,328.4,Beauty,5,0,PayPal,N
O00018,C0001,2023-11-26,269.8,Electronics,3,20,PayPal,N
O00019,C0002,2022-02-12,106.45,Health,2,0,Bank Transfer,N
O00020,C0002,2022-04-03,115.23,Electronics,4,0,PayPal,N
O00021,C0002,2023-01-29,115.77,Home & Garden,1,0,Apple Pay,N
O00022,C0002,2023-04-19,119.09,Health,2,0,PayPal,N
O00023,C0002,2023-06-04,95.86,Beauty,5,0,PayPal,N
O00024,C0002,2023-07-22,86.05,Automotive,4,0,PayPal,Y
O00025,C0002,2023-08-18,178.46,Beauty,1,10,Debit Card,N
O00026,C0002,2023-09-01,82.74,Toys,2,10,Credit Card,N
O00027,C0002,2023-09-22,125.02,Beauty,2,15,Bank Transfer,N
O00028,C0003,2022-01-19,430.75,Automotive,1,15,PayPal,Y
O00029,C0003,2022-03-21,135.04,Toys,2,0,Debit Card,Y
O00030,C0003,2022-04-14,419.8,Home & Garden,4,0,Apple Pay,N
O00031,C0003,2022-05-21,364.07,Sports,4,10,PayPal,N
O00032,C0003,2022-06-08,178.28,Sports,3,20,Apple Pay,N
O00033,C0003,2022-07-04,234.49,Health,4,5,PayPal,N
O00034,C0003,2022-07-16,291.22,Toys,2,20,Debit Card,Y
O00035,C0003,2022-08-08,138.13,Books,1,15,Apple Pay,N
O00036,C0003,2022-08-20,312.91,Clothing,5,20,Credit Card,N
O00037,C0003,2022-10-30,115.23,Home & Garden,3,5,Bank Transfer,N
O00038,C0003,2022-11-13,429.04,Clothing,2,20,Apple Pay,N
O00039,C0003,2022-12-16,470.8,Toys,1,5,Bank Transfer,N
O00040,C0003,2023-01-06,179.03,Clothing,3,0,Credit Card,N
O00041,C0003,2023-01-07,470.95,Beauty,2,0,Credit Card,N
O00042,C0003,2023-05-13,465.31,Food & Grocery,2,20,Apple Pay,N
O00043,C0003,2023-06-04,338.45,Clothing,1,0,Debit Card,N
O00044,C0003,2023-06-05,310.5,Health,5,5,Credit Card,N
O00045,C0003,2023-07-07,179.81,Clothing,1,0,Apple Pay,Y
O00046,C0004,2022-01-01,108.43,Automotive,5,10,Bank Transfer,Y
O00047,C0004,2022-01-09,88.54,Food & Grocery,1,15,Apple Pay,N
O00048,C0004,2022-02-13,186.53,Electronics,3,20,Credit Card,N
O00049,C0004,2022-03-15,181.27,Clothing,5,15,PayPal,N
O00050,C0004,2022-04-06,98.62,Automotive,3,20,Debit Card,N
O00051,C0004,2022-05-04,491.94,Food & Grocery,2,20,Debit Card,N
O00052,C0004,2022-05-04,380.74,Food & Grocery,1,0,Debit Card,N
O00053,C0004,2022-05-30,412.27,Electronics,3,0,Bank Transfer,N
O00054,C0004,2022-06-30,495.43,Automotive,4,0,Credit Card,N
O00055,C0004,2022-07-04,200.17,Electronics,3,0,Credit Card,N
O00056,C0004,2022-08-02,263.52,Toys,4,5,PayPal,N
O00057,C0004,2022-08-08,288.41,Food & Grocery,3,20,Bank Transfer,N
O00058,C0004,2022-09-21,416.48,Toys,1,5,Bank Transfer,N
O00059,C0004,2022-09-26,309.1,Beauty,1,0,PayPal,N
O00060,C0004,2022-10-02,208.73,Health,4,0,Apple Pay,N
O00061,C0005,2022-01-15,147.19,Electronics,2,20,Bank Transfer,N
O00062,C0005,2022-01-20,94.62,Clothing,2,20,PayPal,N
O00063,C0005,2022-03-12,240.8,Health,1,10,Debit Card,N
O00064,C0005,2022-04-04,478.51,Beauty,4,20,Credit Card,Y
O00065,C0005,2022-04-14,137.83,Beauty,4,0,PayPal,N
O00066,C0005,2022-04-22,483.42,Electronics,2,5,Bank Transfer,N
O00067,C0005,2022-05-12,463.69,Clothing,3,20,PayPal,N
O00068,C0005,2022-06-07,170.12,Health,3,15,Apple Pay,N
O00069,C0005,2022-06-13,131.51,Clothing,4,0,Apple Pay,N
O00070,C0005,2022-06-13,420.42,Beauty,3,15,Credit Card,Y
O00071,C0005,2022-06-21,307.71,Books,2,15,Debit Card,N
O00072,C0005,2022-06-23,293.68,Clothing,2,20,Debit Card,N
O00073,C0005,2022-07-11,411.96,Electronics,3,10,Bank Transfer,N
O00074,C0005,2022-07-22,276.31,Automotive,2,10,Credit Card,N
O00075,C0005,2022-07-25,209.9,Food & Grocery,5,5,Apple Pay,Y
O00076,C0006,2022-01-19,145.62,Beauty,2,20,Bank Transfer,Y
O00077,C0006,2022-04-26,60.93,Home & Garden,4,10,Credit Card,N
O00078,C0006,2022-04-30,118.08,Books,2,0,PayPal,N
O00079,C0006,2022-06-14,88.82,Automotive,3,20,Credit Card,N
O00080,C0007,2022-05-09,134.45,Clothing,5,15,Debit Card,Y
O00081,C0007,2022-10-09,190.07,Home & Garden,2,15,Bank Transfer,Y
O00082,C0007,2022-11-07,87.4,Health,1,20,Credit Card,N
O00083,C0007,2023-07-19,37.73,Health,3,15,Debit Card,Y
O00084,C0007,2023-10-03,100.82,Electronics,4,15,Bank Transfer,N
O00085,C0008,2022-03-03,56.87,Toys,4,5,Debit Card,N
O00086,C0008,2022-03-16,133.13,Beauty,3,15,PayPal,N
O00087,C0008,2022-09-08,52.23,Beauty,5,10,Credit Card,N
O00088,C0008,2022-11-01,71.1,Clothing,3,5,Debit Card,N
O00089,C0008,2023-02-20,46.46,Books,4,20,Bank Transfer,N
O00090,C0008,2023-04-10,72.21,Home & Garden,3,10,PayPal,N
O00091,C0008,2023-05-10,159.73,Food & Grocery,5,5,Apple Pay,N
O00092,C0008,2023-12-03,114.55,Clothing,4,10,Apple Pay,N
O00093,C0008,2023-12-07,66.57,Beauty,1,0,PayPal,N
O00094,C0009,2022-01-09,315.96,Beauty,5,0,Credit Card,N
O00095,C0009,2022-02-16,291.79,Automotive,3,20,Bank Transfer,Y
O00096,C0009,2022-02-22,129.9,Clothing,4,0,PayPal,Y
O00097,C0009,2022-04-21,474.36,Home & Garden,2,10,Bank Transfer,N
O00098,C0009,2022-05-18,290.03,Electronics,1,0,PayPal,N
O00099,C0009,2022-09-28,298.12,Home & Garden,5,10,Debit Card,N
O00100,C0009,2022-10-20,471.17,Beauty,2,5,Bank Transfer,N
O00101,C0009,2023-01-10,329.36,Automotive,5,10,Apple Pay,Y
O00102,C0009,2023-01-10,205.91,Electronics,3,0,Credit Card,N
O00103,C0009,2023-02-15,325.15,Electronics,5,5,PayPal,Y
O00104,C0009,2023-02-17,322.61,Electronics,5,5,Debit Card,Y
